time,pdr,avg_delay,p95_delay,p99_delay,throughput_bps,control_overhead,avg_hop_count,route_breaks,packets_sent,packets_delivered,packets_dropped,energy_consumed,avg_ral,avg_link_util,congestion_events,proactive_reroutes,early_pdr,protocol_name,config_seed,num_nodes,max_speed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50000.0,0.0,0.0,0,0,0.0,OLSR,42,50,20.0
10.0,0.1054873465296918,1.6385613051987804,5.115636968953783,5.350259454437774,172441.6,0.08006418792037967,2.8859857482185274,85,3991,421,3445,48522.36800000016,6.583258686715387,0.10910891089108912,0,0,0.0,OLSR,42,50,20.0
20.0,0.1105147596974872,0.6006610271670203,3.8011238164330106,4.823029380179678,185548.8,0.0842187009467788,1.838852097130243,249,4099,453,3788,47600.768000000266,8.290728220881707,0.11154228855721392,0,0,0.0,OLSR,42,50,20.0
30.0,0.106916645553585,0.1834069219571039,0.28246356461806565,0.2951731841049355,172851.2,0.08551142666962502,1.3270142180094786,405,3947,422,3609,46745.72800000036,14.229050906160264,0.11302325581395348,0,0,0.0,OLSR,42,50,20.0
40.0,0.14712528245041426,0.1487355871673329,0.1931165560027992,0.1977908024100385,240025.6,0.07719828516793634,1.0,512,3983,586,3433,46086.27200000042,14.229050906160264,0.10882793017456362,0,0,0.0,OLSR,42,50,20.0
50.0,0.06810837683320904,0.16891148666782965,0.27285385797283207,0.29509610781441914,112230.4,0.08297662828319366,1.2226277372262773,617,4023,274,3787,45286.016000000505,16.290501441261604,0.11285429141716569,0,0,0.0,OLSR,42,50,20.0
60.0,0.19055944055944055,0.27120224392575426,0.39683468747899864,2.175030024972737,312524.8,0.0743874168058429,1.6028833551769333,741,4004,763,3278,44415.104000000596,18.78408354195881,0.11627287853577371,0,0,0.0,OLSR,42,50,20.0
70.0,0.1397741530740276,0.16675940688110052,0.2651951540145375,0.2901724896134169,228147.2,0.07384761098515169,1.177737881508079,876,3985,557,3458,43486.848000000675,21.321985716925887,0.12065620542082739,0,0,0.0,OLSR,42,50,20.0
80.0,0.09987261146496815,0.18277886527471035,0.3231265624562311,0.37672935663479895,160563.2,0.07638291073811627,1.3290816326530612,1039,3925,392,3549,42787.45600000073,21.321985716925887,0.11945068664169786,0,0,0.0,OLSR,42,50,20.0
90.0,0.06040938592111832,0.15725399389201922,0.19850425205519498,0.3507807939956069,99123.2,0.08018307829451082,1.0661157024793388,1173,4006,242,3832,42002.56000000079,21.321985716925887,0.11946725860155384,0,0,0.0,OLSR,42,50,20.0
100.0,0.11102680829539707,0.1493164552808,0.19435190944609246,0.19805199494559872,179814.4,0.08017337193119899,1.0,1293,3954,439,3564,41117.82400000084,21.321985716925887,0.12169830169830169,0,0,0.0,OLSR,42,50,20.0
110.0,0.01503006012024048,0.2506217108774538,0.2904751330354543,0.29563863964253256,24576.0,0.08591702818093516,2.0,1421,3992,60,3972,40620.608000000815,21.321985716925887,0.11778383287920072,0,0,0.0,OLSR,42,50,20.0
120.0,0.029061102831594635,0.21089389067966713,0.29195706208099353,0.2968910174860133,47923.2,0.09018713967882538,1.623931623931624,1519,4026,117,3944,40217.664000000834,21.321985716925887,0.11360532889258948,0,0,0.0,OLSR,42,50,20.0
130.0,0.1277072442120986,0.1591923477142678,0.259737741275569,0.29394573423328213,210124.8,0.08814829422204694,1.1091617933723197,1615,4017,513,3534,39470.14400000087,21.321985716925887,0.11495772482705609,0,0,0.0,OLSR,42,50,20.0
140.0,0.09264853977844914,0.2067119687439907,0.36797984599670175,0.38628721027666185,150732.8,0.08896447409841604,1.5706521739130435,1754,3972,368,3643,38536.2560000009,21.321985716925887,0.11653104925053533,0,0,0.0,OLSR,42,50,20.0
150.0,0.04813236400100276,0.20576227903791247,0.2944345132183798,0.31959084366944046,78643.2,0.0915200047366006,1.5260416666666667,1874,3989,192,3838,37870.080000000875,27.91996916879488,0.11546968687541638,0,0,0.0,OLSR,42,50,20.0
160.0,0.08748753738783649,0.1506885443577197,0.19660609120360562,0.27073707768643374,143769.6,0.09137642018997952,1.0256410256410255,1968,4012,351,3708,37373.88800000084,27.91996916879488,0.11271705184259838,0,0,0.0,OLSR,42,50,20.0
170.0,0.06372303060712493,0.18631472824596768,0.2831203539396043,0.29545888464791514,104038.4,0.09324170552667395,1.3818897637795275,2072,3986,254,3767,36855.23200000086,27.91996916879488,0.11124044679600235,0,0,0.0,OLSR,42,50,20.0
180.0,0.08089717741935484,0.16640122667524482,0.2723149983105202,0.4686702317238371,131481.6,0.09400842449256756,1.1744548286604362,2222,3968,321,3686,36505.47200000082,27.91996916879488,0.108317601332593,0,0,0.0,OLSR,42,50,20.0
190.0,0.07686529794692037,0.19158518536396374,0.287253724234111,0.2933330507934136,125747.2,0.09497073035222935,1.4006514657980456,2350,3994,307,3705,36027.71200000078,27.91996916879488,0.10675433982114678,0,0,0.0,OLSR,42,50,20.0
200.0,0.0916030534351145,0.16354210644114625,0.27653757906452797,0.29812548629744556,147456.0,0.09526986636842207,1.1277777777777778,2465,3930,360,3603,35436.80000000073,36.46094784014392,0.1063968015992004,0,0,0.0,OLSR,42,50,20.0
210.0,0.03195536393608927,0.14987757175812647,0.19344742980169372,0.19726280340361058,51609.6,0.09822520552191888,1.0,2587,3943,126,3861,35224.70400000062,36.46094784014392,0.10312232270347454,0,0,0.0,OLSR,42,50,20.0
220.0,0.0107421875,0.24592641494149864,0.29284960989898534,0.2950101083644162,18022.4,0.10208129454537289,2.0,2697,4096,44,4086,34801.792000000634,45.40418026616224,0.10179009541117673,0,0,0.0,OLSR,42,50,20.0
230.0,0.018295739348370928,0.1486768442789327,0.19432953199951722,0.19874097885091943,29900.8,0.10537024522999774,1.0,2831,3990,73,3960,34525.31200000064,45.40418026616224,0.09942633637548895,0,0,0.0,OLSR,42,50,20.0
240.0,0.04496951219512195,0.14808847869804512,0.19010801831180402,0.19645602093937897,72499.2,0.10720291530281915,1.0,2949,3936,177,3791,34363.520000000644,45.40418026616224,0.09655976676384839,0,0,0.0,OLSR,42,50,20.0
250.0,0.008051948051948052,0.15186294416889357,0.1948973305405275,0.19686882539853912,12697.6,0.11067116696178263,1.0,3080,3850,31,3797,34170.49600000064,45.40418026616224,0.09391443422630946,0,0,0.0,OLSR,42,50,20.0
260.0,0.046169203893186926,0.14887226949455548,0.19158998025196752,0.19693330660927358,75776.0,0.1122214846832909,1.0,3202,4007,185,3857,33620.60800000064,45.40418026616224,0.09344098423683198,0,0,0.0,OLSR,42,50,20.0
270.0,0.07908163265306123,0.1642988198807581,0.2689136652675444,0.2922839207969247,126976.0,0.11244997433721238,1.1709677419354838,3342,3920,310,3685,33122.880000000594,45.40418026616224,0.09308404294705666,0,0,0.0,OLSR,42,50,20.0
280.0,0.08702213279678069,0.1746052756348686,0.28286010003526485,0.2940189014217623,141721.6,0.11199615906373957,1.239884393063584,3479,3976,346,3663,32731.712000000596,45.40418026616224,0.09225990717600858,0,0,0.0,OLSR,42,50,20.0
290.0,0.026803118908382065,0.15084241468372336,0.19332818840043728,0.1966915423994692,45056.0,0.11394213823696586,1.0,3606,4104,110,4036,32596.032000000596,45.40418026616224,0.08985866942433644,0,0,0.0,OLSR,42,50,20.0
